Producto,Mercado,Week_Start_Date,Latitude,Longitude,Precio_Unidad
Cebolla,Mercado Mayorista Lo Valledor de Santiago,2023-03-27,-33.482984251005654,-70.68313373166113,428.4920634920635
Cebolla,Mercado Mayorista Lo Valledor de Santiago,2023-04-03,-33.482984251005654,-70.68313373166113,419.7407407407407
Cebolla,Mercado Mayorista Lo Valledor de Santiago,2023-04-10,-33.482984251005654,-70.68313373166113,405.7142857142857
Cebolla,Mercado Mayorista Lo Valledor de Santiago,2023-04-17,-33.482984251005654,-70.68313373166113,410.3492063492063
Cebolla,Mercado Mayorista Lo Valledor de Santiago,2023-04-24,-33.482984251005654,-70.68313373166113,405.0208333333333
Cebolla,Mercado Mayorista Lo Valledor de Santiago,2023-05-01,-33.482984251005654,-70.68313373166113,402.787037037037
Cebolla,Mercado Mayorista Lo Valledor de Santiago,2023-05-08,-33.482984251005654,-70.68313373166113,440.7592592592593
Cebolla,Mercado Mayorista Lo Valledor de Santiago,2023-05-15,-33.482984251005654,-70.68313373166113,430.2142857142857
Cebolla,Mercado Mayorista Lo Valledor de Santiago,2023-05-22,-33.482984251005654,-70.68313373166113,430.6111111111111
Cebolla,Mercado Mayorista Lo Valledor de Santiago,2023-05-29,-33.482984251005654,-70.68313373166113,471.0
Cebolla,Mercado Mayorista Lo Valledor de Santiago,2023-06-05,-33.482984251005654,-70.68313373166113,425.56944444444446
Cebolla,Mercado Mayorista Lo Valledor de Santiago,2023-06-12,-33.482984251005654,-70.68313373166113,417.52222222222224
Cebolla,Mercado Mayorista Lo Valledor de Santiago,2023-06-19,-33.482984251005654,-70.68313373166113,421.55555555555554
Cebolla,Mercado Mayorista Lo Valledor de Santiago,2023-06-26,-33.482984251005654,-70.68313373166113,422.4444444444444
Cebolla,Mercado Mayorista Lo Valledor de Santiago,2023-07-03,-33.482984251005654,-70.68313373166113,402.5740740740741
Cebolla,Mercado Mayorista Lo Valledor de Santiago,2023-07-10,-33.482984251005654,-70.68313373166113,434.3968253968254
Cebolla,Terminal Hortofrutícola Agro Chillán,2018-10-15,-36.57060167406145,-72.09974646092063,447.6192933333333
Cebolla,Terminal Hortofrutícola Agro Chillán,2018-11-05,-36.57060167406145,-72.09974646092063,338.46178333333336
Cebolla,Terminal Hortofrutícola Agro Chillán,2018-11-12,-36.57060167406145,-72.09974646092063,424.2472305555556
Cebolla,Terminal Hortofrutícola Agro Chillán,2018-11-26,-36.57060167406145,-72.09974646092063,384.6152722222222
Cebolla,Terminal Hortofrutícola Agro Chillán,2018-12-03,-36.57060167406145,-72.09974646092063,321.80145277777774
Cebolla,Terminal Hortofrutícola Agro Chillán,2018-12-10,-36.57060167406145,-72.09974646092063,334.6908055555556
Cebolla,Terminal Hortofrutícola Agro Chillán,2019-01-21,-36.57060167406145,-72.09974646092063,222.22222222222223
Cebolla,Terminal Hortofrutícola Agro Chillán,2019-03-04,-36.57060167406145,-72.09974646092063,215.94444444444449
Cebolla,Terminal Hortofrutícola Agro Chillán,2019-03-11,-36.57060167406145,-72.09974646092063,214.42592592592595
Cebolla,Terminal Hortofrutícola Agro Chillán,2019-03-18,-36.57060167406145,-72.09974646092063,235.41666666666666
Cebolla,Terminal Hortofrutícola Agro Chillán,2019-03-25,-36.57060167406145,-72.09974646092063,230.55555555555557
Cebolla,Terminal Hortofrutícola Agro Chillán,2019-04-01,-36.57060167406145,-72.09974646092063,236.11111111111111
Cebolla,Terminal Hortofrutícola Agro Chillán,2019-04-29,-36.57060167406145,-72.09974646092063,245.6480638888889
Cebolla,Terminal Hortofrutícola Agro Chillán,2019-05-06,-36.57060167406145,-72.09974646092063,281.0891066666666
Cebolla,Terminal Hortofrutícola Agro Chillán,2019-05-20,-36.57060167406145,-72.09974646092063,256.68
Cebolla,Terminal Hortofrutícola Agro Chillán,2019-06-03,-36.57060167406145,-72.09974646092063,258.1888888888889
